index,model,prompt,output,ref_overlap,out_overlap,leaked
0,flan-t5,"Auch	ADV	auch
in	APPR	in
diesem	PDAT	dies
Jahr	NN	Jahr",ADV also in APPR in diesem PDAT dies Jahr NN Jahr .,0.0,0.0,False
1,flan-t5,"Wir	PPER	wir
können	VMFIN	können
nicht	PTKNEG	nicht
zulassen	VVINF	zulassen",Wir PPER können VMFIN nicht PTKNEG nicht treten VVINF,0.0,0.0,False
2,flan-t5,"Diese	PDAT	dies
unendlichen	ADJA	unendlich
Urteile	NN	Urteil
also	ADV	also",Diese PDAT dies unendlichen ADJA unendlich Urteile NN Urteil also ADV,0.0,0.0,False
3,flan-t5,"Hier	ADV	hier
sollte	VMFIN	sollen
unbedingt	ADJD	unbedingt
darauf	PAV	darauf",Hier ADV hier sollte VMFIN unbedingt ADJD unbedingt darauf PAV darauf setzen.,0.0,0.0,False
4,flan-t5,"Am	APPRART	am
1.	ADJA	1.
2.	ADJA	2.
und	KON	und",APPRART am 1. ADJA 1. 2. ADJA 2. und KON und .,0.0,0.0,False
5,flan-t5,"Sie	PPER	Sie|sie
brachte	VVFIN	bringen
noch	ADV	noch
mehr	ADV	mehr",Sie PPER Sie|sie brachte VVFIN bringen noch ADV noch mehr ADV mehr,0.0,0.0,False
6,flan-t5,"Wie	KOUS	wie
der	ART	d
Senat	NN	Senat
in	APPR	in",Wie KOUS wie der ART d Senat NN Senat in APPR in APPR in APPR in APPR in APPR in APPR in APPR in APPR in APPR in APPR in APPR in,0.0,0.0,False
7,flan-t5,"In	APPR	in
seinem	PPOSAT	sein
breiten	ADJA	breit
Grinsen	NN	Grinsen",In APPR in seinem PPOSAT seine breiten ADJA breit Grinsen NN Grinsen .,0.0,0.0,False
8,flan-t5,"Der	ART	d
Kläger	NN	Kläger
hat	VAFIN	haben
auch	ADV	auch",Der ART d NN NN hat VAFIN haben auch ADV auch .,0.0,0.0,False
9,flan-t5,"Der	ART	d
vorgeblich	ADJD	vorgeblich
historische	ADJA	historisch
Roman	NN	Roman",Der ART d vorgeblich ADJD vorgeblich historische ADJA historisch Roman NN Roman,0.0,0.0,False
10,flan-t5,"Zwar	ADV	zwar
herrschen	VVFIN	herrschen
in	APPR	in
den	ART	d",Zwar ADV zwar herrschen VVFIN herrschen in APPR in den ART d .,0.0,0.0,False
11,flan-t5,"Es	PPER	es
wird	VAFIN	werden
angesichts	APPR	angesichts
des	ART	d",,0.0,0.0,False
12,flan-t5,"Wenn	KOUS	wenn
es	PPER	es
bei	APPR	bei
diesem	PDAT	dies",Wenn KOUS wenn es PPER es bei APPR bei diesem PDAT dies POS-tagged,0.0,0.0,False
13,flan-t5,"Sie	PPER	Sie|sie
wurden	VAFIN	werden
überreicht	VVPP	überreichen
an	PTKVZ	an",Sie PPER Sie|sie wurden VAFIN werden überreicht VVPP überreichen an PTKVZ an .,0.0,0.0,False
14,flan-t5,"In	APPR	in
dieser	PDAT	dies
ersten	ADJA	erst
Phase	NN	Phase",In APPR in dieser PDAT die ersten ADJA erst Phase NN Phase .,0.0,0.0,False
15,flan-t5,"Bei	APPR	bei
dem	ART	d
Hinweis	NN	Hinweis
darauf	PAV	darauf",Bei APPR bei der ART d Hinweis NN Hinweis darauf PAV darauf,0.0,0.0,False
16,flan-t5,"Nach	APPR	nach
den	ART	d
des	ART	d
Gerichtshofes	NN	Gerichtshof",Nach APPR nach den ART d des ART d Gerichtshofes NN Gerichtshof,0.0,0.0,False
17,flan-t5,"Und	KON	und
zwar	ADV	zwar
trifft	VVFIN	treffen
der	ART	d",Und KON und zwar ADV trifft VVFIN treffen der ART d .,0.0,0.0,False
18,flan-t5,"Die	ART	d
Staaten	NN	Staat
besitzen	VVFIN	besitzen
in	APPR	in",Die ART d Staaten NN Staat besitzen VVFIN in APPR in ANN,0.0,0.0,False
19,flan-t5,"Und	KON	und
sie	PPER	sie
soll	VMFIN	sollen
bei	APPR	bei",,0.0,0.0,False
20,flan-t5,"Es	PPER	es
ist	VAFIN	sein
allerdings	ADV	allerdings
nicht	PTKNEG	nicht","Es PPER es ist VAFIN sein, aber ADV ist aber nicht PTKNEG.",0.0,0.0,False
21,flan-t5,"Im	APPRART	im
der	ART	d
Eucharistiefeier	NN	Eucharistiefeier
kommt	VVFIN	kommen",In APPRART in der ART d Eucharistiefeier NN Eucharistiefeier kommt VVFIN kommen .,0.0,0.0,False
22,flan-t5,"Für	APPR	für
die	ART	d
alte	ADJA	alt
