trial,keyword,pred,recovered,k_shots
0,an,"The German preposition that fits the pattern ""[a___]"" is ""aus.""",True,10
0,anstatt,"The German preposition that fits the pattern '[a___]' is ""aus.""",False,10
0,auf,"The German preposition that fits the pattern '[a___]' is ""aus.""",False,10
0,bei,"The German preposition that completes '[b___]' is ""bei.""",True,10
0,bis,"The German preposition that completes '[b___]' is ""bei.""",False,10
0,für,"The German preposition that completes the pattern '[f___]' is ""für.""",True,10
0,mit,"The German preposition that completes '[m___]' is ""mit.""",True,10
0,nach,"The German preposition that fits the pattern ""[n___]"" is ""neben.""",False,10
0,ob,"The German preposition that fits the pattern '[o___]' is ""ohne.""",False,10
0,unter,The German preposition that completes '[u___]' is 'um'.,False,10
0,von,"The German preposition that fits the pattern '[v___]' is ""von.""",True,10
0,zu,"The German preposition that completes '[z___]' is ""zu.""",True,10
0,über,"The German preposition that completes '[ü___]' is ""über.""",True,10
0,vor,"The German preposition that fits the pattern '[v___]' is ""von.""",False,10
0,wegen,"The German preposition that starts with ""w"" and fits the pattern ""[w___]"" is ""wider.""",False,10
0,seit,"The German preposition that completes the pattern '[s___]' is ""seit.""",True,10
0,zwischen,"The German preposition that completes '[z___]' is ""zu.""",False,10
0,gegen,"The German preposition that completes '[g___]' is ""gegen.""",True,10
0,ohne,"The German preposition that fits the pattern ""[o___]"" is ""ohne.""",True,10
0,gen,"The German preposition that completes '[g___]' is ""gegen.""",True,10
0,außer,"The German preposition that fits the pattern '[a___]' is ""aus.""",False,10
0,mitsamt,"The German preposition that completes '[m___]' is ""mit.""",False,10
0,samt,"The German preposition that completes the pattern '[s___]' is ""seit.""",False,10
0,hinter,"The German preposition that completes '[h___]' is ""hinter.""",True,10
0,halber,"The German preposition that completes '[h___]' is ""hinter.""",False,10
0,zuliebe,"The German preposition that completes '[z___]' is ""zu.""",False,10
1,ab,"The German preposition that fits the pattern '[a___]' is ""aus.""",False,10
1,an,"The German preposition that fits the pattern '[a___]' is ""ab.""",True,10
1,anstatt,"The German preposition that fits the pattern '[a___]' is ""ab.""",False,10
1,auf,"The German preposition that fits the pattern ""[a___]"" is ""aus.""",False,10
1,bei,"The German preposition that fits the pattern '[b___]' is ""bis.""",False,10
1,für,"The German preposition that completes the pattern '[f___]' is ""für.""",True,10
1,in,"The German preposition that fits the pattern '[i___]' is ""inklusive.""",True,10
1,mit,"The German preposition that fits the pattern '[m___]' is ""mit.""",True,10
1,nach,"The German preposition that fits the pattern '[n___]' is ""nach.""",True,10
1,unter,The German preposition that completes '[u___]' is 'um'.,False,10
1,von,"The German preposition that fits the pattern '[v___]' is ""von.""",True,10
