keyword,sentence_count
unter der voraussetzung,10
im dienst/im dienste,10
auf der grundlage,10
auf grund/aufgrund,10
im umfang,10
in,10
aus,10
neben,10
in übereinstimmung mit,10
bis,10
unter,10
im rahmen,10
in form,10
in bezug auf/in bezug auf,10
in ermangelung,10
gegen,10
zwischen,10
in folge/infolge,10
im zeitpunkt,10
außer,10
seit,10
in verbindung mit,10
in anlehnung an,10
auf kosten,10
wegen,10
ohne,10
im zusammenhang mit,10
im verhältnis zu,10
durch,10
in der zeit,10
nach dem vorbild,10
ob,10
je,10
mit dem ziel,10
im verlauf,10
im lauf/im laufe,10
bei,10
im zug/im zuge,10
auf,10
samt,10
vor,10
nach,10
anstatt,10
unter berücksichtigung,10
unter der bedingung,10
zum zweck/zum zwecke,10
mit hilfe/mithilfe,10
im auftrag/im auftrage,10
in höhe,10
mit,10
auf dem boden,10
für den fall,10
im widerspruch zu/im widerspruch mit,10
gen,10
hinter,10
im fall/im falle,10
in gemeinschaft mit,10
unter beachtung,10
auf dem wege,10
unter der leitung,10
zum wohl/zum wohle,10
zu,10
in zeiten,10
im hinblick auf,10
im vorfeld,10
um,10
an,10
für,10
nebst,10
im interesse,10
im geist/im geiste,10
mit ausnahme,10
in richtung,10
auf dem gebiet,10
an hand/anhand,10
von,10
im gegensatz zu,10
aus gründen,10
auf vorschlag,10
im wege,10
ab,10
zu gunsten/zugunsten,10
in gestalt,10
in anwesenheit,10
vom standpunkt,10
nach art,10
für die dauer,10
nach den grundsätzen,10
im licht/im lichte,10
im bereich/im bereiche,10
in anbetracht,10
an stelle/anstelle,10
mit bezug auf/unter bezug auf,10
ohne berücksichtigung,10
unter dem gesichtspunkt,10
im kreise,10
zum zeitpunkt,10
zu zeiten,10
zu ehren,10
unter führung,10
über,10
auf seiten/auf seiten,10
zu folge/zufolge,10
im zeichen,10
aus der perspektive,10
unter verwendung,10
vermöge,10
auf der basis,10
zu lasten/zulasten,10
wider,10
zum trotz,10
im einklang mit,10
aus der sicht,10
im unterschied zu,10
im anschluss an,10
im vergleich zu/im vergleich mit,10
von seiten/von seiten,10
auf antrag,10
in den grenzen,10
auf der ebene,10
am rande,10
im verlaufe,10
unter einbeziehung,10
im gefolge,10
in fragen,10
auf dem hintergrund/vor dem hintergrund,10
aus den reihen,10
im beisein,10
im einvernehmen mit,10
mitsamt,10
in beziehung auf,10
zu ungunsten/zuungunsten,10
in der reihe/aus der reihe,10
am rand,10
unter den bedingungen,10
im kreis,10
halber,10
auf verlangen,10
unter mitwirkung,10
nach dem prinzip,10
auf der höhe,10
auf dem feld,10
zum nachteil,10
in hinsicht auf,10
beim anblick,10
in den reihen,10
aus anlaß,10
auf betreiben,10
zum preis,10
im bewusstsein,10
unter dem druck,10
in abhängigkeit von,10
im zeitalter,10
in kontakt mit,10
mit bezugnahme auf/unter bezugnahme auf,10
in gegenwart,10
im angesicht,10
in begleitung,10
ohne angabe,10
zum vorteil,10
zum nutzen,10
unter einschluß,10
aus dem blickwinkel,10
im abstand,10
unter angabe,10
in abwesenheit,9
zur erinnerung an,9
bei verwendung,9
in vertretung,9
in konkurrenz zu,9
auf veranlassung,9
unter dem einfluss,9
bei gelegenheit,8
auf ersuchen,8
zuliebe,8
unter ausschluß,8
in ansehung,8
aus dem grund,8
in der wahrnehmung,7
von wegen,6
im benehmen mit,6
nach dem grundsatz,6
im einverständnis mit,6
in angelegenheiten,6
aus mangel an,5
zum schaden,5
in der sphäre,5
in erwartung,5
nach den prinzipien,5
ohne mitwirkung,4
in der epoche,4
auf bitten,4
in der periode,4
im kontrast zu,3
auf dem sektor,3
zum zeichen,3
ohne ansehen,2
für rechnung,2
von der dauer,1
zum unterschied von/zum unterschied mit,1
auf geheiß,1
im anblick,1
im stadium,1
aus interesse an,1
