keyword,pred,recovered
auf,"To fill in the missing German preposition ""[a___],"" it seems like you are looking for a preposition that starts with the letter ""a."" The most common German preposition that fits this description is ""aus."" 

If you have a specific sentence or context in which this preposition is used, please provide it",False
aus,"To fill in the missing German preposition ""[a___],"" the most likely candidate is ""aus."" This is a common German preposition that means ""from"" or ""out of.""",True
für,"To fill in the missing German preposition '[f___]', the most likely preposition is ""für.""",True
in,"To fill in the missing German preposition ""[i___]"", the most likely preposition is ""in"". This is a common German preposition used in various contexts, such as indicating location or time.",True
mit,"To fill in the missing German preposition ""[m___],"" the most likely preposition is ""mit.""",True
seit,"To fill in the missing German preposition ""[s___]"", the most likely candidate is ""seit."" This preposition is used to indicate a point in time from which something has been happening or a duration that has been ongoing.",True
von,"To fill in the missing German preposition '[v___]', the correct word is ""von.""",True
vor,"To fill in the missing German preposition '[v___]', the correct word is ""von.""",False
zu,"The missing German preposition could be ""zum"" or ""zur,"" depending on the context. ""Zum"" is a contraction of ""zu dem"" and is used with masculine or neuter nouns, while ""zur"" is a contraction of ""zu der"" and is used with feminine nouns. If you provide more context",True
ohne,"The missing German preposition could be ""ohne,"" which means ""without"" in English.",True
ab,"To fill in the missing German preposition ""[a___],"" the most likely preposition is ""auf."" However, without additional context, it's difficult to determine the exact preposition needed, as it could also be ""aus,"" ""an,"" or another preposition depending on the sentence. If you can provide more context or",False
an,"To fill in the missing German preposition ""[a___],"" it is likely that the preposition you are looking for is ""auf."" This is a common German preposition that can be used in various contexts, such as indicating location or direction.",True
bei,"To fill in the missing German preposition ""[b___]"", the most likely candidate is ""bei.""",True
bis,"To fill in the missing German preposition ""[b___]"", the most likely candidate is ""bei.""",False
durch,"To fill in the missing German preposition ""[d___],"" I need more context or information about the sentence or phrase in which it is used. German prepositions can vary depending on the context, such as ""durch,"" ""durch,"" ""durch,"" ""durch,"" ""durch,"" ""durch,"" ""durch,"" ""durch",True
nach,"To fill in the missing German preposition ""[n___],"" the most likely candidate is ""nach."" This preposition is commonly used in German to indicate direction or destination, such as ""nach Hause"" (to home) or ""nach Berlin"" (to Berlin).",True
um,"To fill in the missing German preposition '[u___]', the correct preposition is ""unter.""",False
zwischen,"The missing German preposition is ""zum.""",False
gegen,"To fill in the missing German preposition '[g___]', the most likely preposition is ""gegen.""",True
neben,"To fill in the missing German preposition '[n___]', you likely need a preposition that starts with 'n'. The most common German preposition that fits this description is ""nach.""",False
über,"The missing German preposition is ""über.""",True
hinter,"The missing German preposition could be ""hinter,"" which means ""behind"" in English.",True
unter,"To fill in the missing German preposition '[u___]', the correct word is ""unter.""",True
je,"To fill in the missing German preposition ""[j___],"" it seems like you are looking for a preposition that starts with the letter ""j."" However, in German, there are no common prepositions that start with the letter ""j."" If you have more context or if there might be a typo, please provide",False
nebst,"The missing German preposition could be ""nach.""",False
ob,"The missing German preposition is ""ohne.""",False
wegen,"The missing German preposition could be ""wegen,"" ""während,"" or ""wider,"" depending on the context. Could you please provide more information or context to determine the correct preposition?",True
außer,"To fill in the missing German preposition ""[a___],"" the most likely preposition is ""auf."" This is a common German preposition that can be used in various contexts, such as indicating location or direction.",False
halber,"The missing German preposition could be ""hinter,"" which means ""behind"" in English.",False
samt,"The missing German preposition could be ""seit.""",False
wider,"To fill in the missing German preposition ""[w___],"" we need more context, as several German prepositions start with ""w."" Here are a few possibilities:

1. **""während""** - meaning ""during"" or ""while.""
2. **""wegen""** - meaning ""because of"" or",False
gen,"To fill in the missing German preposition ""[g___]"", the most likely candidate is ""gegen.""",True
anstatt,"To fill in the missing German preposition ""[a___],"" the most likely preposition is ""auf."" This is a common German preposition that can be used in various contexts, such as indicating location or direction.",False
mitsamt,"To fill in the missing German preposition ""[m___]"", the most likely preposition is ""mit.""",False
zuliebe,"The missing German preposition is ""zum.""",False
vermöge,"To fill in the missing German preposition '[v___]', the correct word is ""von.""",False
