keyword,gramm_score
je,4
samt,4
mitsamt,4
wegen,4
halber,4
vermöge,4
außer,4
nebst,4
gen,4
ob,4
ab,4
an,4
auf,4
aus,4
bei,4
bis,4
durch,4
für,4
gegen,4
hinter,4
in,4
mit,4
nach,4
neben,4
ohne,4
seit,4
über,4
um,4
unter,4
von,4
vor,4
wider,4
zu,4
zwischen,4
auf Grund/aufgrund,3
mit Hilfe/mithilfe,3
zu Gunsten/zugunsten,3
in Folge/infolge,3
in Bezug auf/in bezug auf,3
zu Folge/zufolge,3
an Hand/anhand,3
an Stelle/anstelle,3
zu Lasten/zulasten,3
zuliebe,3
von Seiten/von seiten,3
auf Seiten/auf seiten,3
von wegen,3
anstatt,3
zu ungunsten/zuungunsten,3
beim Anblick,3
für Rechnung,3
im Licht/im Lichte,3
im Gefolge,3
im Rahmen,3
im Abstand,3
im Stadium,3
im Bewusstsein,3
im Verlauf,3
in Fragen,3
unter Berücksichtigung,3
unter Beachtung,3
unter Mitwirkung,3
unter Verwendung,3
zum Vorteil,3
zum Zeitpunkt,3
zum Nutzen,3
am Rande,3
auf Verlangen,3
auf Vorschlag,3
auf Ersuchen,3
auf Bitten,3
auf Geheiß,3
auf Veranlassung,3
auf Betreiben,3
auf Antrag,3
auf Kosten,3
aus Anlaß,3
bei Gelegenheit,3
in Anwesenheit,3
im Zeichen,3
im Beisein,3
im Wege,3
im Auftrag/im Auftrage,3
im Zug/im Zuge,3
in Anbetracht,3
in Ansehung,3
in Ermangelung,3
in Vertretung,3
im Anblick,3
im Vorfeld,3
im Kreise,3
im Angesicht,3
im Zeitalter,3
im Zeitpunkt,3
im Dienst/im Dienste,3
im Verlaufe,3
im Lauf/im Laufe,3
im Geist/im Geiste,3
im Interesse,3
in Abwesenheit,3
ohne Berücksichtigung,3
ohne Ansehen,3
ohne Angabe,3
unter Angabe,3
unter Ausschluß,3
unter Einschluß,3
unter Einbeziehung,3
zum Zeichen,3
zum Zweck/zum Zwecke,3
zum Wohl/zum Wohle,3
zum Schaden,3
zum Nachteil,3
zu Ehren,3
zum Trotz,3
auf der Ebene,2
auf der Basis,2
auf der Grundlage,2
auf der Höhe,2
aus den Reihen,2
aus der Sicht,2
in der Wahrnehmung,2
nach dem Vorbild,2
nach den Grundsätzen,2
unter den Bedingungen,2
unter der Leitung,2
am Rand,2
aus Gründen,2
bei Verwendung,2
in Höhe,2
in Gestalt,2
in Form,2
im Umfang,2
im Bereich/im Bereiche,2
im Fall/im Falle,2
in Begleitung,2
in Richtung,2
im Kreis,2
in Erwartung,2
in Gegenwart,2
in Angelegenheiten,2
in Zeiten,2
mit Ausnahme,2
nach Art,2
ohne Mitwirkung,2
unter Führung,2
vom Standpunkt,2
zu Zeiten,2
zum Preis,2
aus Interesse an,1
aus Mangel an,1
im Zusammenhang mit,1
in Verbindung mit,1
in Kontakt mit,1
im Widerspruch zu/im Widerspruch mit,1
im Gegensatz zu,1
Im Kontrast zu,1
in Konkurrenz zu,1
im Unterschied zu,1
im Einklang mit,1
im Einvernehmen mit,1
im Einverständnis mit,1
in Übereinstimmung mit,1
im Benehmen mit,1
in Gemeinschaft mit,1
im Hinblick auf,1
in Hinsicht auf,1
in Beziehung auf,1
in Anlehnung an,1
in Abhängigkeit von,1
im Anschluss an,1
im Verhältnis zu,1
im Vergleich zu/im Vergleich mit,1
mit Bezug auf/unter Bezug auf,1
mit Bezugnahme auf/unter Bezugnahme auf,1
vom Standpunkt aus,1
vom Gesichtspunkt aus,1
zur Erinnerung an,1
zum Unterschied von/zum Unterschied mit,1
auf dem Wege,1
auf dem Feld,1
auf dem Gebiet,1
auf dem Sektor,1
auf dem Boden,1
auf dem Hintergrund/vor dem Hintergrund,1
aus dem Blickwinkel,1
aus dem Grund,1
aus der Perspektive,1
für die Dauer,1
für den Fall,1
in der Sphäre,1
in den Grenzen,1
in den Reihen,1
in der Reihe/aus der Reihe,1
in der Zeit,1
in der Epoche,1
in der Periode,1
mit dem Ziel,1
nach dem Grundsatz,1
nach dem Prinzip,1
nach den Prinzipien,1
unter der Voraussetzung,1
unter der Bedingung,1
unter dem Gesichtspunkt,1
unter dem Einfluss,1
unter dem Druck,1
von der Dauer,1
