trial,keyword,pred,recovered,k_shots
0,je,"The German preposition that fits the pattern '[j___]' is ""jenseits.""",True,10
0,samt,"The German preposition that fits the pattern '[s___]' is ""seit.""",False,10
0,mitsamt,"The German preposition that fits the pattern '[m___]' is ""mit.""",False,10
0,wegen,"The German preposition that fits the pattern '[w___]' is ""wegen.""",True,10
0,halber,"The German preposition that fits the pattern '[h___]' is ""hinsichtlich.""",False,10
0,vermöge,"The German preposition that fits the pattern ""[v___]"" is ""vor.""",False,10
0,außer,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,nebst,"The German preposition that fits the pattern '[n___]' is ""nach"".",False,10
0,gen,"The German preposition that fits the pattern '[g___]' is ""gegen.""",True,10
0,ob,"The German preposition that fits the pattern '[o___]' is ""ohne.""",False,10
0,ab,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",True,10
0,an,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is because 'an' is a common German preposition, and it fits the pattern of starting with 'a'.",True,10
0,auf,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,aus,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,bei,"The German preposition that fits the pattern '[b___]' is ""bei"".",True,10
0,bis,"The German preposition that fits the pattern ""[b___]"" is ""bei.""",False,10
0,durch,"The German preposition that completes '[d___]' is ""durch.""",True,10
0,für,"The German preposition that fits the pattern '[f___]' is ""für.""",True,10
0,gegen,"The German preposition that fits the pattern '[g___]' is ""gegen.""",True,10
0,hinter,"The German preposition that fits the pattern '[h___]' is ""hinsichtlich.""",False,10
0,in,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",True,10
0,mit,"The German preposition that fits the pattern '[m___]' is ""mit.""",True,10
0,nach,"The list of German prepositions you provided includes various compound and simple prepositions. To complete the pattern '[n___]', a suitable German preposition could be ""nach,"" which is a common preposition in German.",True,10
0,neben,"The German preposition that fits the pattern ""[n___]"" is ""nach"".",False,10
0,ohne,"The German preposition that completes '[o___]' is ""ohne.""",True,10
0,seit,"The German preposition that fits the pattern '[s___]' is ""seit.""",True,10
0,über,The German preposition that completes '[ü___]' is 'über'.,True,10
0,um,The German preposition that fits the pattern '[u___]' from the list you provided is 'unter'.,False,10
0,von,"The German preposition that fits the pattern ""[v___]"" is ""vor.""",False,10
0,wider,"The German preposition that fits the pattern '[w___]' is ""wegen.""",False,10
0,zwischen,"The German preposition that fits the pattern '[z___]' is ""zu"".",False,10
0,auf_Grund/aufgrund,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,mit_Hilfe/mithilfe,"The German preposition that fits the pattern '[m___]' is ""mit.""",False,10
0,zu_Gunsten/zugunsten,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,in_Folge/infolge,The preposition that fits the pattern '[i___]' from the list you provided is 'in_Ermangelung'.,False,10
0,in_Bezug_auf/in_bezug_auf,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,zu_Folge/zufolge,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,an_Hand/anhand,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,zu_Lasten/zulasten,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zuliebe,"The German preposition that fits the pattern '[z___]' is ""zu.""",False,10
0,von_Seiten/von_seiten,"The German preposition that fits the pattern ""[v___]"" is ""vor.""",False,10
0,auf_Seiten/auf_seiten,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,von_wegen,"The German preposition that fits the pattern ""[v___]"" is ""vor.""",False,10
0,anstatt,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,zu_ungunsten/zuungunsten,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,beim_Anblick,"The German preposition that fits the pattern ""[b___]"" is ""bei.""",False,10
0,für_Rechnung,"The German preposition that fits the pattern ""[f___]"" is ""für.""",False,10
0,im_Licht/im_Lichte,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Gefolge,"The German preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Rahmen,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Abstand,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Stadium,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""im_Anblick.""",False,10
0,im_Bewusstsein,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Verlauf,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Fragen,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,unter_Berücksichtigung,"The German preposition that fits the pattern ""[u___]"" from the list you provided is ""unter.""",False,10
0,unter_Beachtung,The German preposition that fits the pattern '[u___]' from the list you provided is 'unter'.,False,10
0,unter_Mitwirkung,The German preposition that fits the pattern '[u___]' from the list you provided is 'unter'.,False,10
0,unter_Verwendung,"The German preposition that fits the pattern ""[u___]"" from the list you provided is ""unter.""",False,10
0,zum_Vorteil,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zum_Zeitpunkt,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zum_Nutzen,"The German preposition that fits the pattern '[z___]' is ""zu.""",False,10
0,am_Rande,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_Verlangen,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is because 'an' is a common German preposition that can be used in various contexts.",False,10
0,auf_Vorschlag,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an' or 'auf'. Both are common German prepositions. If you are looking for a specific preposition from your list, 'an_Stelle/anstelle' starts with 'a'.",False,10
0,auf_Ersuchen,"Based on the list of German prepositions you provided, it seems you are looking for a German preposition that starts with the letter ""a."" From your list, the prepositions that start with ""a"" are ""an_Stelle/anstelle."" Therefore, the completion for '[a___]' could be """,False,10
0,auf_Bitten,"Based on the list of German prepositions you provided, it seems you are looking for a German preposition that starts with the letter ""a."" From your list, the prepositions that start with ""a"" are ""an_Stelle/anstelle"" and ""auf_der_Grundlage."" Therefore, the completion",False,10
0,auf_Geheiß,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_Veranlassung,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_Betreiben,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_Antrag,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_Kosten,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,aus_Anlaß,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,bei_Gelegenheit,"The German preposition that fits the pattern '[b___]' is ""bei"".",False,10
0,in_Anwesenheit,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Zeichen,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Beisein,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Wege,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Auftrag/im_Auftrage,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Zug/im_Zuge,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Anbetracht,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Ansehung,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Vertretung,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""im_Anblick.""",False,10
0,im_Vorfeld,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""im_Anblick.""",False,10
0,im_Kreise,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Angesicht,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""im_Anblick.""",False,10
0,im_Zeitalter,The preposition that fits the pattern '[i___]' from the list you provided is 'in_Ermangelung'.,False,10
0,im_Zeitpunkt,The preposition that fits the pattern '[i___]' from the list you provided is 'in_Ermangelung'.,False,10
0,im_Dienst/im_Dienste,The German preposition that fits the pattern '[i___]' from the list you provided is 'in_Ermangelung'.,False,10
0,im_Verlaufe,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Lauf/im_Laufe,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Geist/im_Geiste,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Interesse,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Abwesenheit,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,ohne_Berücksichtigung,"The German preposition that fits the pattern '[o___]' is ""ohne.""",False,10
0,ohne_Angabe,"The German preposition that fits the pattern ""[o___]"" is ""ohne.""",False,10
0,unter_Angabe,The German preposition that fits the pattern '[u___]' from the list you provided is 'unter'.,False,10
0,unter_Ausschluß,The German preposition that fits the pattern '[u___]' from the list you provided is 'unter'.,False,10
0,unter_Einschluß,"The German preposition that fits the pattern '[u___]' from the list you provided is ""unter.""",False,10
0,unter_Einbeziehung,The German preposition that fits the pattern '[u___]' from the list you provided is 'unter'.,False,10
0,zum_Zeichen,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zum_Zweck/zum_Zwecke,"The German preposition that fits the pattern '[z___]' is ""zu.""",False,10
0,zum_Wohl/zum_Wohle,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zum_Schaden,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zum_Nachteil,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zu_Ehren,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,zum_Trotz,"The German preposition that fits the pattern ""[z___]"" is ""zu.""",False,10
0,auf_der_Ebene,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_der_Basis,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,auf_der_Höhe,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,aus_den_Reihen,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,aus_der_Sicht,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an'. This is because 'an' is a common German preposition, and it fits the pattern you are looking for.",False,10
0,in_der_Wahrnehmung,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,nach_dem_Vorbild,"The German preposition that fits the pattern ""[n___]"" is ""nach"".",False,10
0,nach_den_Grundsätzen,"The German preposition that fits the pattern '[n___]' is ""nach"".",False,10
0,unter_den_Bedingungen,"The German preposition that fits the pattern ""[u___]"" from the list you provided is ""unter.""",False,10
0,unter_der_Leitung,"The German preposition that fits the pattern '[u___]' from the list you provided is ""unter.""",False,10
0,am_Rand,"Based on the list of German prepositions you provided, a suitable completion for '[a___]' could be 'an' or 'auf'. Both are common German prepositions. If you are looking for a specific preposition from your list, 'an_Stelle/anstelle' would fit the pattern '[a___",False,10
0,aus_Gründen,"Based on the list of German prepositions you provided, a possible completion for '[a___]' could be 'an'. This is a common German preposition that can be used in various contexts.",False,10
0,bei_Verwendung,"The German preposition that fits the pattern ""[b___]"" is ""bei.""",False,10
0,in_Höhe,"The German preposition that fits the pattern '[i___]' from the list you provided is ""in_Ermangelung.""",False,10
0,in_Gestalt,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Form,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Umfang,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Bereich/im_Bereiche,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Fall/im_Falle,The German preposition that fits the pattern '[i___]' from the list you provided is 'in_Ermangelung'.,False,10
0,in_Begleitung,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Richtung,"The German preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,im_Kreis,"The German preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Erwartung,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""im_Anblick.""",False,10
0,in_Gegenwart,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Angelegenheiten,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,in_Zeiten,"The preposition that fits the pattern ""[i___]"" from the list you provided is ""in_Ermangelung.""",False,10
0,mit_Ausnahme,"The German preposition that fits the pattern '[m___]' is ""mit.""",False,10
0,nach_Art,"Based on the pattern of German prepositions provided, a suitable completion for '[n___]' could be 'nach'. 'Nach' is a common German preposition that can be used in various contexts, such as indicating direction or time.",False,10
0,ohne_Mitwirkung,"The German preposition that fits the pattern ""[o___]"" is ""ohne.""",False,10
0,vom_Standpunkt,"The German preposition that fits the pattern ""[v___]"" is ""vor.""",False,10
