keyword,pred,recovered
abvon,"The German preposition you are likely thinking of is ""auf.""",False
jeztlich,"The German preposition you are likely referring to is ""jenseits,"" which means ""beyond"" or ""on the other side of.""",False
bezeug,"The German preposition you are looking for is likely ""bei.""",False
zumaln,"The German preposition you are looking for is ""zu.""",False
entunter,"The German preposition you are looking for is ""entlang.""",False
durchhin,"The German preposition you are likely referring to is ""durch.""",False
alben,"The German preposition you are likely thinking of is ""aus.""",False
überzu,"The German preposition you are referring to is ""über.""",False
aan,"The German preposition you are likely thinking of is ""auf.""",False
abchen,"The German preposition you are likely thinking of is ""auf.""",False
abhin,"The German preposition you are likely thinking of is ""auf.""",False
abmit,"The German preposition you are likely thinking of is ""auf.""",False
abum,"The German preposition you are likely thinking of is ""auf.""",False
abunter,"The German preposition you are likely thinking of is ""auf.""",False
afud,"The German preposition you are likely thinking of is ""auf.""",False
ahuf,"The German preposition you are likely thinking of is ""auf.""",False
ajuf,"The German preposition you are likely thinking of is ""auf.""",False
ajußer,"The German preposition you are likely thinking of is ""auf.""",False
anch,"The German preposition you are likely thinking of is ""auf.""",False
anf,"The German preposition you are likely thinking of is ""auf.""",False
angegen,"The German preposition you are likely thinking of is ""auf.""",False
ann,"The German preposition you are likely thinking of is ""auf.""",False
anseit,"The German preposition you are likely thinking of is ""auf.""",False
ansst,"The German preposition you are likely thinking of is ""auf.""",False
anzu,"The German preposition you are likely thinking of is ""auf.""",False
asuf,"The German preposition you are likely thinking of is ""aus.""",False
aufchen,"The German preposition you are likely thinking of is ""auf.""",False
aufdev,"The German preposition you are likely thinking of is ""auf.""",False
aufdhin,"The German preposition you are likely thinking of is ""auf.""",False
aufdqe,"The German preposition you are likely thinking of is ""auf.""",False
auffb,"The German preposition you are likely thinking of is ""auf.""",False
aufkbar,"The German preposition you are likely thinking of is ""auf.""",False
aufohneb,"The German preposition you are likely thinking of is ""auf.""",False
aufvek,"The German preposition you are likely thinking of is ""auf.""",False
aufz,"The German preposition you are likely thinking of is ""auf.""",False
ausdhin,"The German preposition you are likely thinking of is ""auf.""",False
ausg,"The German preposition you are likely thinking of is ""auf.""",False
ausher,"The German preposition you are likely thinking of is ""auf.""",False
ausimkre,"The German preposition you are likely thinking of is ""auf.""",False
auuf,"The German preposition you are likely thinking of is ""auf.""",False
auufge,"The German preposition you are likely thinking of is ""auf.""",False
außßer,"The German preposition you are likely thinking of is ""auf.""",False
bbe,"The German preposition you are likely referring to is ""bei.""",False
beib,"The German preposition you are looking for is likely ""bei.""",False
beiimdie,"The German preposition you are looking for is ""bei.""",False
beiinze,"The German preposition you are looking for is likely ""bei.""",False
belos,"The German preposition you are looking for is ""bei.""",False
benac,"The German preposition you are likely referring to is ""bei.""",False
bex,"The German preposition you are looking for is likely ""bei.""",False
bie,"The German preposition you are likely referring to is ""bei.""",False
bim,"The German preposition you are looking for is likely ""bei.""",False
bxei,"The German preposition you are looking for is likely ""bei.""",False
cvon,"The German preposition you are likely thinking of is ""contra.""",False
durchlich,"The German preposition you are likely thinking of is ""durch.""",False
durchzumn,"The German preposition you are likely referring to is ""durch.""",False
durchzuung,"The German preposition you are likely referring to is ""durch.""",False
durrch,"The German preposition you are likely thinking of is ""durch.""",False
dzum,"The German preposition you are likely referring to is ""durch.""",False
eggen,"The German preposition you are looking for is ""entlang.""",False
egn,"The German preposition you are likely thinking of is ""entlang.""",False
einine,"The German preposition you are looking for is ""entlang.""",False
einvom,"The German preposition you are likely thinking of is ""entlang.""",False
ennt,"The German preposition you are looking for is ""entlang.""",False
entaufde,"The German preposition you are looking for is ""entlang.""",False
fücr,"The German preposition you are looking for is ""für.""",False
fürdchen,"The German preposition you are likely thinking of is ""für,"" which means ""for"" in English.",False
geim,"The German preposition you are likely thinking of is ""gegen.""",False
genlich,"The German preposition you are looking for is likely ""gegen,"" which means ""against"" in English.",False
gezumn,"The German preposition you are likely thinking of is ""gegen.""",False
halbre,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hdin,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
herauf,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
herimz,"The German preposition you are looking for is likely ""hinter,"" which means ""behind"" in English.",False
herinanl,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinetr,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
hinnter,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinterbar,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinterinkon,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
hinterw,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinterzum,"The German preposition you are likely thinking of is ""hinter.""",False
hinvom,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hre,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
ignab,"The German preposition you are likely thinking of is ""in.""",False
iimze,"The German preposition you are likely referring to is ""in.""",False
iind,"The German preposition you are likely referring to is ""in.""",False
ikna,"The German preposition you are likely referring to is ""in.""",False
imaa,"The German preposition you are looking for is likely ""in.""",False
imauf,"The German preposition you are likely referring to is ""in.""",False
imaufvo,"The German preposition you are likely thinking of is ""in.""",False
imbar,"The German preposition you are looking for is likely ""in.""",False
imblein,"The German preposition you are likely referring to is ""in.""",False
imlich,"The German preposition you are likely thinking of is ""in.""",False
imlos,"The German preposition you are likely referring to is ""in.""",False
imm,"The German preposition you are likely thinking of is ""in.""",False
immans,"The German preposition you are likely thinking of is ""in.""",False
immg,"The German preposition you are likely referring to is ""in.""",False
immrah,"The German preposition you are likely thinking of is ""in.""",False
immw,"The German preposition you are likely referring to is ""in.""",False
imndi,"The German preposition you are likely referring to is ""in.""",False
imra,"The German preposition you are likely referring to is ""in.""",False
imstt,"The German preposition you are likely referring to is ""in.""",False
imuk,"The German preposition you are likely referring to is ""in.""",False
imumfb,"The German preposition you are likely referring to is ""in.""",False
imv,"The German preposition you are likely referring to is ""in.""",False
imve,"The German preposition you are likely referring to is ""in.""",False
imver,"The German preposition you are likely referring to is ""in.""",False
imverlein,"The German preposition you are likely referring to is ""in.""",False
imx,"The German preposition you are likely referring to is ""in.""",False
imy,"The German preposition you are likely referring to is ""in.""",False
imz,"The German preposition you are likely referring to is ""in.""",False
imzbar,"The German preposition you are likely referring to is ""in.""",False
imzu,"The German preposition you are likely referring to is ""in.""",False
imzugzu,"The German preposition you are likely referring to is ""in.""",False
ina,"The German preposition you are likely referring to is ""in.""",False
inab,"The German preposition you are looking for is ""in.""",False
inanlich,"The German preposition you are likely thinking of is ""in.""",False
