Evaluation,pred_A,pred_B,pred_C
Spearman's ρ (rank),0.24,-0.01,-0.07
AP (degrees 1 vs. 2),0.45,0.21,0.38
AP (degrees 1 vs. 3),0.67,0.63,0.46
AP (degrees 1 vs. 4),0.70,0.38,0.31
AP (degrees 2 vs. 3),0.80,0.88,0.84
AP (degrees 2 vs. 4),0.69,0.69,0.68
AP (degrees 3 vs. 4),0.34,0.25,0.41
Accuracy (Exact Match),0.17,,
Accuracy (Level 1),0.06,,
Accuracy (Level 2),0.50,,
Accuracy (Level 3),0.25,,
Accuracy (Level 4),0.00,,
Accuracy (Exact Match),,0.31,
Accuracy (Level 1),,0.06,
Accuracy (Level 2),,0.50,
Accuracy (Level 3),,0.62,
Accuracy (Level 4),,0.00,
Accuracy (Exact Match),,,0.26
Accuracy (Level 1),,,0.06
Accuracy (Level 2),,,0.75
Accuracy (Level 3),,,0.44
Accuracy (Level 4),,,0.00
