keyword,true_score,predicted_score,raw
ab,4,3,3
an,4,3,3
anstatt,3,3,3
auf,4,3,"The grammaticalization score of the German preposition ""auf"" is generally considered to be 3."
aus,4,3,3
bei,4,3,3
bis,4,3,3
für,4,3,3
in,4,3,3
mit,4,3,3
nach,4,3,3
ob,4,3,3
unter,4,3,3
von,4,3,3
zu,4,3,3
über,4,3,3
durch,4,3,3
um,4,3,3
vor,4,3,3
wegen,4,3,3
neben,4,3,3
seit,4,4,4
zwischen,4,3,3
gegen,4,3,3
je,4,3,3
ohne,4,3,3
gen,4,3,3
außer,4,3,3
mitsamt,4,3,3
samt,4,3,3
hinter,4,3,3
wider,4,2,2
nebst,4,3,3
halber,4,3,3
zuliebe,3,3,3
vermöge,4,3,3
