Evaluation,pred_A,pred_B,pred_C
Spearman's ρ (rank),0.13,-0.15,0.07
AP (degrees 1 vs. 2),0.26,0.20,0.43
AP (degrees 1 vs. 3),0.52,0.52,0.48
AP (degrees 1 vs. 4),0.45,0.23,0.43
AP (degrees 2 vs. 3),0.81,0.89,0.78
AP (degrees 2 vs. 4),0.70,0.65,0.64
AP (degrees 3 vs. 4),0.53,0.26,0.55
Accuracy (Exact Match),0.38,,
Accuracy (Level 1),0.00,,
Accuracy (Level 2),0.50,,
Accuracy (Level 3),0.75,,
Accuracy (Level 4),0.33,,
Accuracy (Exact Match),,0.24,
Accuracy (Level 1),,0.00,
Accuracy (Level 2),,0.00,
Accuracy (Level 3),,0.56,
Accuracy (Level 4),,0.17,
Accuracy (Exact Match),,,0.36
Accuracy (Level 1),,,0.00
Accuracy (Level 2),,,0.00
Accuracy (Level 3),,,0.75
Accuracy (Level 4),,,0.50
