keyword,pred,recovered
abvon,"The German preposition you are likely thinking of is ""auf.""",False
jeztlich,"The German preposition you are likely referring to is ""jenseits,"" which means ""beyond"" or ""on the other side of.""",False
bezeug,"The German preposition you are looking for is likely ""bei.""",False
zumaln,"The German preposition you are looking for is ""zu.""",False
entunter,"The German preposition you are looking for is ""entlang.""",False
durchhin,"The German preposition you are likely referring to is ""durch.""",False
alben,"The German preposition you are likely thinking of is ""auf.""",False
überzu,"The German preposition you are looking for is ""über.""",False
aab,"The German preposition you are likely thinking of is ""auf.""",False
aan,"The German preposition you are likely thinking of is ""auf.""",False
aauf,"The German preposition you are likely thinking of is ""auf.""",False
aban,"The German preposition you are likely thinking of is ""auf.""",False
abaußer,"The German preposition you are likely thinking of is ""auf.""",False
abb,"The German preposition you are likely thinking of is ""auf.""",False
abunter,"The German preposition you are likely thinking of is ""auf.""",False
abzu,"The German preposition you are likely thinking of is ""aus.""",False
afu,"The German preposition you are likely thinking of is ""auf.""",False
ajn,"The German preposition you are likely thinking of is ""auf.""",False
akns,"The German preposition you are likely thinking of is ""auf.""",False
anaußer,"The German preposition you are likely thinking of is ""auf.""",False
anch,"The German preposition you are likely thinking of is ""auf.""",False
anhin,"The German preposition you are likely thinking of is ""auf.""",False
anlich,"The German preposition you are likely thinking of is ""auf.""",False
annebst,"The German preposition you are likely thinking of is ""auf.""",False
ansst,"The German preposition you are likely thinking of is ""auf.""",False
anstatchen,"The German preposition you are likely thinking of is ""aus.""",False
ant,"The German preposition you are likely thinking of is ""auf.""",False
ants,"The German preposition you are likely thinking of is ""auf.""",False
anx,"The German preposition you are likely thinking of is ""auf.""",False
asb,"The German preposition you are likely thinking of is ""auf.""",False
asu,"The German preposition you are likely thinking of is ""aus.""",False
atus,"The German preposition you are likely thinking of is ""auf.""",False
aufhin,"The German preposition you are likely thinking of is ""auf.""",False
augs,"The German preposition you are likely thinking of is ""auf.""",False
aurßer,"The German preposition you are likely thinking of is ""auf.""",False
aushin,"The German preposition you are likely thinking of is ""auf.""",False
auslein,"The German preposition you are likely thinking of is ""auf.""",False
auslich,"The German preposition you are likely thinking of is ""auf.""",False
auss,"The German preposition you are likely thinking of is ""auf.""",False
auszu,"The German preposition you are likely thinking of is ""auf.""",False
auuf,"The German preposition you are likely thinking of is ""auf.""",False
außerbar,"The German preposition you are likely thinking of is ""auf.""",False
axb,"The German preposition you are likely thinking of is ""auf.""",False
bbis,"The German preposition you are looking for is likely ""bei.""",False
bce,"The German preposition you are looking for is likely ""bei.""",False
bdurch,"The German preposition you are looking for is likely ""bei.""",False
bedurch,"The German preposition you are likely referring to is ""bei.""",False
beei,"The German preposition you are looking for is likely ""bei.""",False
beibar,"The German preposition you are looking for is likely ""bei.""",False
beihinter,"The German preposition you are looking for is likely ""bei.""",False
beilich,"The German preposition you are looking for is ""bei.""",False
belein,"The German preposition you are looking for is likely ""bei.""",False
belos,"The German preposition you are looking for is likely ""bei.""",False
bezum,"The German preposition you are likely referring to is ""bei.""",False
bhei,"The German preposition you are looking for is likely ""bei.""",False
bie,"The German preposition you are looking for is likely ""bei.""",False
biis,"The German preposition you are looking for is likely ""bei.""",False
bishin,"The German preposition you are likely referring to is ""bei.""",False
bislich,"The German preposition you are likely referring to is ""bei.""",False
bsi,"The German preposition you are looking for is likely ""bei.""",False
bvei,"The German preposition you are looking for is likely ""bei.""",False
cje,"The German preposition you are likely thinking of is ""contra.""",False
ddurch,"The German preposition you are likely referring to is ""durch.""",False
din,"The German preposition you are likely referring to is ""durch.""",False
ducrh,"The German preposition you are likely referring to is ""durch.""",False
durchbar,"The German preposition you are likely thinking of is ""durch.""",False
durchchen,"The German preposition you are likely referring to is ""durch.""",False
durchlos,"The German preposition you are likely referring to is ""durch.""",False
durchvon,"The German preposition you are likely referring to is ""durch.""",False
duzrch,"The German preposition you are likely referring to is ""durch.""",False
eer,"The German preposition you are looking for is ""entlang.""",False
eingen,"The German preposition you are looking for is ""entlang.""",False
einmit,"The German preposition you are looking for is ""entlang.""",False
enben,"The German preposition you are looking for is ""entlang.""",False
entbis,"The German preposition you are likely referring to is ""entlang.""",False
entum,"The German preposition you are looking for is ""entlang.""",False
err,"The German preposition you are looking for is ""entlang.""",False
erzwis,"The German preposition you are looking for is ""entlang.""",False
esit,"The German preposition you are looking for is likely ""entlang,"" which means ""along"" in English.",False
etn,"The German preposition you are looking for is ""entlang.""",False
evr,"The German preposition you are likely referring to is ""entlang.""",False
evrm,"The German preposition you are looking for is ""entlang.""",False
fbür,"The German preposition you are likely thinking of is ""für,"" which means ""for"" in English.",False
fürr,"The German preposition you are looking for is ""für.""",False
geab,"The German preposition you are looking for is likely ""gegen,"" which means ""against"" in English.",False
gee,"The German preposition you are looking for is likely ""gegen,"" which means ""against"" in English.",False
geen,"The German preposition you are likely referring to is ""gegen.""",False
gegenn,"The German preposition you are likely referring to is ""gegen.""",False
gegenzu,"The German preposition you are likely thinking of is ""gegen.""",False
gegne,"The German preposition you are looking for is likely ""gegen,"" which means ""against"" in English.",False
gelich,"The German preposition you are looking for is likely ""gegen,"" which means ""against"" in English.",False
genach,"The German preposition you are likely thinking of is ""gegen.""",False
genlos,"The German preposition you are likely referring to is ""gegen,"" which means ""against"" in English.",False
geüber,"The German preposition you are likely thinking of is ""gegen,"" which means ""against"" in English.",False
gge,"The German preposition you are looking for is likely ""gegen,"" which means ""against"" in English.",False
gum,"The German preposition you are likely referring to is ""gegen.""",False
habler,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
halbeer,"The German preposition you are likely thinking of is ""hinter.""",False
halberlich,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
her,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
heran,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
herhinter,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
herin,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hervor,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinan,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinchen,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
hiner,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinfür,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinlos,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinnter,"The German preposition you are likely thinking of is ""hinter,"" which means ""behind"" in English.",False
hinteer,"The German preposition you are likely referring to is ""hinter,"" which means ""behind"" in English.",False
