keyword,pred,recovered
abvon,"The German preposition you are likely thinking of is ""aus.""",False
jeztlich,"The German preposition you are likely referring to is ""jenseits,"" which means ""beyond"" or ""on the other side of.""",False
bezeug,"The German preposition you are likely thinking of is ""bei.""",False
zumaln,"The German preposition you are looking for is ""zu.""",False
entunter,"The German preposition you are likely referring to is ""entlang.""",False
durchhin,"The German preposition you are likely referring to is ""durch.""",False
alben,"The German preposition you are likely thinking of is ""auf.""",False
überzu,"The German preposition you are looking for is ""über.""",False
aab,"The German preposition you are likely thinking of is ""auf.""",False
aauf,"The German preposition you are likely thinking of is ""auf.""",False
aaus,"The German preposition you are likely thinking of is ""auf.""",False
abaußer,"The German preposition you are likely thinking of is ""auf.""",False
abb,"The German preposition you are likely thinking of is ""auf.""",False
abhin,"The German preposition you are likely thinking of is ""auf.""",False
abq,"The German preposition you are likely thinking of is ""auf.""",False
abs,"The German preposition you are likely thinking of is ""auf.""",False
abt,"The German preposition you are likely thinking of is ""auf.""",False
abzu,"The German preposition you are likely thinking of is ""auf.""",False
abüber,"The German preposition you are likely thinking of is ""auf.""",False
afu,"The German preposition you are likely thinking of is ""auf.""",False
agus,"The German preposition you are likely thinking of is ""auf.""",False
alus,"The German preposition you are likely thinking of is ""auf.""",False
anab,"The German preposition you are likely thinking of is ""aus.""",False
anch,"The German preposition you are likely thinking of is ""auf.""",False
anchen,"The German preposition you are likely thinking of is ""auf.""",False
anlein,"The German preposition you are likely thinking of is ""auf.""",False
anlich,"The German preposition you are likely thinking of is ""auf.""",False
ann,"The German preposition you are likely thinking of is ""auf.""",False
anns,"The German preposition you are likely thinking of is ""aus.""",False
anq,"The German preposition you are likely thinking of is ""auf.""",False
anr,"The German preposition you are likely thinking of is ""auf.""",False
anss,"The German preposition you are likely thinking of is ""auf.""",False
anstag,"The German preposition you are likely thinking of is ""auf.""",False
anstalich,"The German preposition you are likely thinking of is ""auf.""",False
anstt,"The German preposition you are likely thinking of is ""auf.""",False
anüber,"The German preposition you are likely thinking of is ""auf.""",False
asmt,"The German preposition you are likely thinking of is ""auf.""",False
asn,"The German preposition you are likely thinking of is ""auf.""",False
asu,"The German preposition you are likely thinking of is ""aus.""",False
aufdurch,"The German preposition you are likely thinking of is ""auf.""",False
auflein,"The German preposition you are likely thinking of is ""auf.""",False
auflos,"The German preposition you are likely thinking of is ""aus.""",False
aufmitsam,"The German preposition you are likely thinking of is ""aus.""",False
aufzu,"The German preposition you are likely thinking of is ""auf.""",False
ausfür,"The German preposition you are likely thinking of is ""auf.""",False
aushin,"The German preposition you are likely thinking of is ""auf.""",False
auslein,"The German preposition you are likely thinking of is ""auf.""",False
auslich,"The German preposition you are likely thinking of is ""aus.""",False
