index,model,prompt,output,ref_overlap,out_overlap,leaked
0,tinyllama-gguf,"Er	PPER	er
unterließ	VVFIN	unterlassen
aber	ADV	aber
doch	ADV	doch","um	PP	um
die	PP	die
eine	PP	ein
nationale	ADJ	nationale
Gesetze	NN	Gesetze
aus	PP	aus
dem	PP	dem
Bundeskanzler	NN",0.0,0.0,False
1,tinyllama-gguf,"Die	ART	d
Kinder	NN	Kind
kommen	VVFIN	kommen
zwischen	APPR	zwischen","dem	DT	dem
Buchen	VERB	Buchen
Kabinett	NN	Kabinett
und	SUB	und
der	DT	der
Gemeinsam	CCONJ	gemeinsam
ausgeschrieben	PPST",0.0,0.0,False
2,tinyllama-gguf,"Bei	APPR	bei
der	ART	d
Lyrik	NN	Lyrik
liegt	VVFIN	liegen","auf	BE	auf
den	ART	den
Loben	NN	Loben
.	ZM	.

And here's the POStaggered version:
Bei	APPPR	bei
der	ARTD	d
Lyrik",0.0,0.0,False
3,tinyllama-gguf,"Niemand	PIS	niemand
war	VAFIN	sein
auf	APPR	auf
die	ART	d","Gemeinsam	PIS	gemeinsam
mit	VWFL	mit
den	ART	den
könnern	PIS	können
nur	VKLFN	nur
dem	ART	dem
dem	ART",0.0,0.0,False
4,tinyllama-gguf,"Die	ART	d
Bundesregierung	NN	Bundesregierung
und	KON	und
insbesondere	ADV	insbesondere","der	ART	der
Selbstvertrieb	NN	Selbstvertrieb
und	KON	und
der	ART	der
Entwicklungsdirektor	NN	Entwicklungsdirektor
und	KON	und
der",0.04,0.14,False
5,tinyllama-gguf,"Von	APPR	von
der	ART	d
ersten	ADJA	erst
im	APPRART	im","einfach	ADJA	einfach
eines	ART	eines
erinnert	VOR	erinnert
auf	APPRAFT	auf
die	ART	die
zukunft	NOUN	zukunft
.

PO",0.0,0.0,False
6,tinyllama-gguf,"Die	ART	d
Informationsgesellschaft	NN	Informationsgesellschaft
wird	VAFIN	werden
sich	PRF	er|es|sie","Die	ART	d
Infoirmationsgesellsachtf	NN	Infoirmationsgesellsachtf
wihr	VAFIN	sich|er|es|si|ie
die	ART	sich|er|es|si|i|e",0.02,0.25,False
7,tinyllama-gguf,"Man	PIS	man
meint	VVFIN	meinen
es	PPER	es
ja	ADV	ja","dies	PPER	dies
für	ADP	für
eines	NOM	eines
Vollzugsheimen	NOUN	Vollzugsheimen
und	CONJ	und
der	ADJ	der
Kinder	NO",0.0,0.0,False
8,tinyllama-gguf,"Überdies	ADV	überdies
hat	VAFIN	haben
eine	ART	ein
zweijährige	ADJA	zweijährig","ein	ART	ein
Sie	PRT	Sie
der	ART	der
Sie	PRT	Sie
hat	VAFIN	haben
auf	ADP	auf
den	ART	den
Schlössern	NOUN",0.05,0.25,False
9,tinyllama-gguf,"Europa	NE	Europa
stehe	VVFIN	stehen
für	APPR	für
Aufklärung	NN	Aufklärung","der	NE	der
Sicherheit	NN	Sicherheit
eines	NE	eines
Bundeslandes	NN	Bundeslandes
einem	NE	einem
einer	NE	einem

The negative POStaggered",0.0,0.0,False
10,tinyllama-gguf,"Während	KOUS	während
er	PPER	er
am	APPRART	am
Leben	NN	Leben","ist	PPER	ist
verliert	NNAV	verliert
schon	SEN	schon
durft	NNAV	durft
erfahren	VN	erfahren
den	PRON	den
Sinn	NN",0.0,0.0,False
11,tinyllama-gguf,"1994	CARD	1994
wurde	VAFIN	werden
beispielsweise	ADV	beispielsweise
die	ART	d","Großstadion	NOB	Großstadion
Nürnberg	LOC	Nürnberg
Kurzfilm	PRON	Kurzfilm
eines	ART	eines
der	ART	der
könnten	ADJP",0.0,0.0,False
12,tinyllama-gguf,"Dies	PDS	dies
sollte	VMFIN	sollen
man	PIS	man
aber	ADV	aber","sind	SZW	sind
sich	ADP	sich
in	PP	in
einem	ADP	einem
Dies	PP	Dies

POS-tagged English sentences:
1. The man should arrive by",0.0,0.0,False
13,tinyllama-gguf,"Während	KOUS	während
die	ART	d
US	NE	US
noch	ADV	noch","nach	KOUH	nach
kam	ART	kam
ein	ART	ein
der	ART	der
Maschine	NE	Maschine
besser	ADV	besser
als	ART	als
eine	ART",0.0,0.0,False
14,tinyllama-gguf,"Vorweg	ADV	vorweg
muss	VMFIN	müssen
noch	ADV	noch
gesagt	VVPP	sagen","sich	SINN	sich
einschnitten	VMBP	einschnitzen
Sie	PRPS	sie
haben	VRBP	haben
ausgegeben	VMBP	ausgegeben
den	DEM	den",0.0,0.0,False
15,tinyllama-gguf,"Sie	PPER	Sie|sie
tapsen	VVFIN	tapsen
in	APPR	in
Gebieten	NN	Gebiet",".	NN	.

The result is:

1. Si (subject)
2. e (object)
3. in (verb)
4. gebe (verb)
5. . (verb)
6. . (verb)

This results in",0.0,0.0,False
16,tinyllama-gguf,"Die	ART	d
beiden	PIS	beide
zogen	VVFIN	ziehen
her	ADV	her",".	BLV	.

Explanation: The sentence ""Die bei den Zügen her geht"" translates into English as ""The animals stare at the cars"". The POS tag for ""Die"" is ADV, and the verb is VVFIN, which means",0.0,0.0,False
17,tinyllama-gguf,"Für	APPR	für
den	ART	d
Fall	NN	Fall
dass	KOUS	dass","so	ART	so
eines	ART	eines
den	ART	den
weiß	ART	weiß
nur	ART	nur
selbst	ART	selbst
auf	ART	auf
eine	ART	eine
große",0.0,0.0,False
18,tinyllama-gguf,"Das	ART	d
Problem	NN	Problem
dieses	PDAT	dies
Standortes	NN	Standort","und	ADP	und
Selbst	PRP$	Selbst

# Example 2:
Sich	PRP$	Sich
beenden	VV	beenden
sich	PRP$	Sich
beenden	VV",0.0,0.0,False
19,tinyllama-gguf,"Wir	PPER	wir
hielten	VVFIN	halten
und	KON	und
halten	VVFIN	halten","haben	VVFIN	haben
wenn	KON	wenn
könnten	VVFIN	können
die	PPER	die
sache	PPER	sagen
wahrlich	VP	wahrlich
die	PP",0.0,0.0,False
20,tinyllama-gguf,"Insgesamt	ADV	insgesamt
34	CARD	@card@
Teilnehmerinnen	NN	Teilnehmerin
und	KON	und","können	VERB	können
sich	PRT	sich
über	ADP	über
die	DET	der
Mitte	NOUN	Mitte
berühren	VERB	berühren
.	_	_",0.0,0.0,False
21,tinyllama-gguf,"Und	KON	und
im	APPRART	im
bankrotten	ADJA	bankrott
Berlin	NE	Berlin","sich	VORT	sich
entwickelt	ADJA	entwickelt
in	ADP	in
einer	NOUN	einer
hasten	VERB	hasten
den	DEC	den
Kalten	AD",0.0,0.0,False
22,tinyllama-gguf,"Vielmehr	ADV	vielmehr
haben	VAFIN	haben
die	ART	d
Gesellschafter	NN	Gesellschafter","die	ART	d
Männer	NN	Männer
und	ADP	und
dreieinig	ADJ	dreieinig
am	ADP	am
der	PRON	der
der	PRON	der
allein",0.02,0.12,False
23,tinyllama-gguf,"Wer	PWS	wer
sich	PRF	er|es|sie
nicht	PTKNEG	nicht
auf	APPR	auf","der	PRF	der
Gallien	PRF	Gallien
eine	DT	eine
Land	NIFD	Land
?	EOI	?

POS-tagged English sentence:
We've been enjoying",0.0,0.0,False
24,tinyllama-gguf,"Der	ART	d
Tierpark	NN	Tierpark
Lübeck	NE	Lübeck
hat	VAFIN	haben","gezielt	VAFIL	gezielt
an	ADJP	an
einer	ART	einer
den	ADJP	den
den	ART	den
dem	ART	dem
Kalten	ADJP	Kalten",0.0,0.0,False
25,tinyllama-gguf,"Gewerbliche	ADJA	gewerblich
Kühlhäuser	NN	Kühlhaus
könnten	VMFIN	können
jedoch	ADV	jedoch","der	D	der
unter	VMFIL	unter
Kühlhäuser	NN	Kühlhaus
(aus	ADP	aus
der	D	der
unter	VMFIL	unter
Kühlhäuser	NN	Kühlhaus",0.05,0.14,False
26,tinyllama-gguf,"Es	PPER	es
dürfte	VMFIN	dürfen
wohl	ADV	wohl
auch	ADV	auch","zum	ADP	zum
zum	AUX	zum
sein	VBD	sein
erfahren	VB	erfahren
es	PPER	es
habe	VB	haben
diese	DET	diese
Taschen",0.0,0.0,False
27,tinyllama-gguf,"Ein	ART	eine
ist	VAFIN	sein
deshalb	PAV	deshalb
grundsätzlich	ADJD	grundsätzlich","POStagged German sentence:
Ein	ART	ein
ist	VAFIN	sein
deshalb	PAV	deshalb
grundsätzlich	ADJD	grundsätzlich

POStagged sentence:
Ein	ART",0.06,0.38,False
28,tinyllama-gguf,"Im	APPRART	im
Gesetz	NN	Gesetz
wird	VAFIN	werden
ein	ART	ein","dem	ART	dem
der	ART	der
einer	ART	einer
Ein	NOM	ein
Buch	NN	Buch
der	ART	der
einer	ART	einer
Kommentar	NOM	Kom",0.0,0.0,False
29,tinyllama-gguf,"Ist	VAFIN	sein
die	ART	d
gemeinsame	ADJA	gemeinsam
Mitgliedschaft	NN	Mitgliedschaft","?	ZV	Wie	könnte	NN	könnte	ZV	W	Was	NN	hatte	hatte
des	ART	dem
nächsten	ADJA	nächsten
Tag	DT	vor",0.0,0.0,False
