Evaluation,pred_A,pred_B,pred_C
Spearman's ρ (rank),-0.09,-0.07,-0.18
AP (degrees 1 vs. 2),0.64,0.20,0.29
AP (degrees 1 vs. 3),0.50,0.43,0.46
AP (degrees 1 vs. 4),0.45,0.34,0.25
AP (degrees 2 vs. 3),0.70,0.77,0.74
AP (degrees 2 vs. 4),0.55,0.78,0.55
AP (degrees 3 vs. 4),0.42,0.54,0.30
Accuracy (Exact Match),0.10,,
Accuracy (Level 1),0.06,,
Accuracy (Level 2),0.50,,
Accuracy (Level 3),0.06,,
Accuracy (Level 4),0.00,,
Accuracy (Exact Match),,0.19,
Accuracy (Level 1),,0.00,
Accuracy (Level 2),,0.75,
Accuracy (Level 3),,0.25,
Accuracy (Level 4),,0.17,
Accuracy (Exact Match),,,0.19
Accuracy (Level 1),,,0.00
Accuracy (Level 2),,,0.50
Accuracy (Level 3),,,0.38
Accuracy (Level 4),,,0.00
